story,20,30,40,50,60,70,80
GDC,the,the,the,the,the,the,the
GDC,and,and,and,and,and,and,and
GDC,to,be,be,be,be,be,be
GDC,be,to,to,to,to,to,he
GDC,they,a,a,a,a,a,a
GDC,a,they,he,he,he,he,to
GDC,he,he,they,they,they,in,in
GDC,in,in,on,on,on,they,on
GDC,on,on,in,in,in,on,they
GDC,of,of,of,of,of,of,of
GDC,some,so,some,so,him,him,him
GDC,that,that,into,into,into,his,it
GDC,so,with,so,that,that,it,his
GDC,him,she,him,it,his,into,that
GDC,into,some,with,some,it,that,so
GDC,with,into,her,with,so,with,into
GDC,she,him,his,him,with,I,I
GDC,it,for,she,up,some,so,she
GDC,his,it,it,she,she,some,with
GDC,her,his,that,his,her,up,some
GDC,for,her,for,her,up,she,her
GDC,up,up,up,I,I,out,out
GDC,as,I,I,for,for,for,but
GDC,after,as,as,like,have,have,for
GDC,have,down,out,out,like,her,at
Picnic,the,the,the,the,the,the,and
Picnic,and,and,and,and,and,and,the
Picnic,be,be,be,be,be,be,be
Picnic,they,they,they,they,they,they,they
Picnic,to,to,to,to,a,a,a
Picnic,she,a,of,a,to,to,to
Picnic,of,she,a,of,of,of,of
Picnic,a,of,he,she,he,he,he
Picnic,her,her,she,he,in,in,in
Picnic,in,in,in,in,all,all,all
Picnic,that,he,all,all,she,she,one
Picnic,their,that,their,their,that,that,that
Picnic,all,for,that,her,one,their,it
Picnic,for,all,her,that,their,it,with
Picnic,he,their,one,for,his,one,their
Picnic,so,so,for,with,it,with,them
Picnic,one,on,so,so,on,his,him
Picnic,them,it,his,it,with,on,on
Picnic,it,some,with,one,so,her,I
Picnic,on,with,it,on,for,so,his
Picnic,some,have,some,some,her,for,so
Picnic,have,one,on,his,some,him,some
Picnic,with,his,at,at,them,I,for
Picnic,as,him,them,them,him,them,she
Picnic,at,where,him,but,have,some,but
