"","story","age","lexeme"
"1","gdc","20","the"
"2","gdc","20","and"
"3","gdc","20","to"
"4","gdc","20","be"
"5","gdc","20","they"
"6","gdc","20","a"
"7","gdc","20","he"
"8","gdc","20","in"
"9","gdc","20","on"
"10","gdc","20","of"
"11","gdc","20","some"
"12","gdc","20","that"
"13","gdc","20","so"
"14","gdc","20","him"
"15","gdc","20","into"
"16","gdc","20","with"
"17","gdc","20","she"
"18","gdc","20","it"
"19","gdc","20","his"
"20","gdc","20","her"
"21","gdc","20","for"
"22","gdc","20","up"
"23","gdc","20","as"
"24","gdc","20","after"
"25","gdc","20","have"
"26","gdc","30","the"
"27","gdc","30","and"
"28","gdc","30","be"
"29","gdc","30","to"
"30","gdc","30","a"
"31","gdc","30","they"
"32","gdc","30","he"
"33","gdc","30","in"
"34","gdc","30","on"
"35","gdc","30","of"
"36","gdc","30","so"
"37","gdc","30","that"
"38","gdc","30","with"
"39","gdc","30","she"
"40","gdc","30","some"
"41","gdc","30","into"
"42","gdc","30","him"
"43","gdc","30","for"
"44","gdc","30","it"
"45","gdc","30","his"
"46","gdc","30","her"
"47","gdc","30","up"
"48","gdc","30","i"
"49","gdc","30","as"
"50","gdc","30","down"
"51","gdc","40","the"
"52","gdc","40","and"
"53","gdc","40","be"
"54","gdc","40","to"
"55","gdc","40","a"
"56","gdc","40","he"
"57","gdc","40","they"
"58","gdc","40","on"
"59","gdc","40","in"
"60","gdc","40","of"
"61","gdc","40","some"
"62","gdc","40","into"
"63","gdc","40","so"
"64","gdc","40","him"
"65","gdc","40","with"
"66","gdc","40","her"
"67","gdc","40","his"
"68","gdc","40","she"
"69","gdc","40","it"
"70","gdc","40","that"
"71","gdc","40","for"
"72","gdc","40","up"
"73","gdc","40","i"
"74","gdc","40","as"
"75","gdc","40","out"
"76","gdc","50","the"
"77","gdc","50","and"
"78","gdc","50","be"
"79","gdc","50","to"
"80","gdc","50","a"
"81","gdc","50","he"
"82","gdc","50","they"
"83","gdc","50","on"
"84","gdc","50","in"
"85","gdc","50","of"
"86","gdc","50","so"
"87","gdc","50","into"
"88","gdc","50","that"
"89","gdc","50","it"
"90","gdc","50","some"
"91","gdc","50","with"
"92","gdc","50","him"
"93","gdc","50","up"
"94","gdc","50","she"
"95","gdc","50","his"
"96","gdc","50","her"
"97","gdc","50","i"
"98","gdc","50","for"
"99","gdc","50","like"
"100","gdc","50","out"
"101","gdc","60","the"
"102","gdc","60","and"
"103","gdc","60","be"
"104","gdc","60","to"
"105","gdc","60","a"
"106","gdc","60","he"
"107","gdc","60","they"
"108","gdc","60","on"
"109","gdc","60","in"
"110","gdc","60","of"
"111","gdc","60","him"
"112","gdc","60","into"
"113","gdc","60","that"
"114","gdc","60","his"
"115","gdc","60","it"
"116","gdc","60","so"
"117","gdc","60","with"
"118","gdc","60","some"
"119","gdc","60","she"
"120","gdc","60","her"
"121","gdc","60","up"
"122","gdc","60","i"
"123","gdc","60","for"
"124","gdc","60","have"
"125","gdc","60","like"
"126","gdc","70","the"
"127","gdc","70","and"
"128","gdc","70","be"
"129","gdc","70","to"
"130","gdc","70","a"
"131","gdc","70","he"
"132","gdc","70","in"
"133","gdc","70","they"
"134","gdc","70","on"
"135","gdc","70","of"
"136","gdc","70","him"
"137","gdc","70","his"
"138","gdc","70","it"
"139","gdc","70","into"
"140","gdc","70","that"
"141","gdc","70","with"
"142","gdc","70","i"
"143","gdc","70","so"
"144","gdc","70","some"
"145","gdc","70","up"
"146","gdc","70","she"
"147","gdc","70","out"
"148","gdc","70","for"
"149","gdc","70","have"
"150","gdc","70","her"
"151","gdc","80","the"
"152","gdc","80","and"
"153","gdc","80","be"
"154","gdc","80","he"
"155","gdc","80","a"
"156","gdc","80","to"
"157","gdc","80","in"
"158","gdc","80","on"
"159","gdc","80","they"
"160","gdc","80","of"
"161","gdc","80","him"
"162","gdc","80","it"
"163","gdc","80","his"
"164","gdc","80","that"
"165","gdc","80","so"
"166","gdc","80","into"
"167","gdc","80","i"
"168","gdc","80","she"
"169","gdc","80","with"
"170","gdc","80","some"
"171","gdc","80","her"
"172","gdc","80","out"
"173","gdc","80","but"
"174","gdc","80","for"
"175","gdc","80","at"
"176","picnic","20","the"
"177","picnic","20","and"
"178","picnic","20","be"
"179","picnic","20","they"
"180","picnic","20","to"
"181","picnic","20","she"
"182","picnic","20","of"
"183","picnic","20","a"
"184","picnic","20","her"
"185","picnic","20","in"
"186","picnic","20","that"
"187","picnic","20","their"
"188","picnic","20","all"
"189","picnic","20","for"
"190","picnic","20","he"
"191","picnic","20","so"
"192","picnic","20","one"
"193","picnic","20","them"
"194","picnic","20","it"
"195","picnic","20","on"
"196","picnic","20","some"
"197","picnic","20","have"
"198","picnic","20","with"
"199","picnic","20","as"
"200","picnic","20","at"
"201","picnic","30","the"
"202","picnic","30","and"
"203","picnic","30","be"
"204","picnic","30","they"
"205","picnic","30","to"
"206","picnic","30","a"
"207","picnic","30","she"
"208","picnic","30","of"
"209","picnic","30","her"
"210","picnic","30","in"
"211","picnic","30","he"
"212","picnic","30","that"
"213","picnic","30","for"
"214","picnic","30","all"
"215","picnic","30","their"
