"","age","story","pos","lexeme"
"1",20,"gdc","Adjectives","able"
"2",20,"gdc","Adjectives","back"
"3",20,"gdc","Adjectives","big"
"4",20,"gdc","Adjectives","dangerous"
"5",20,"gdc","Adjectives","dirty"
"6",20,"gdc","Adjectives","early"
"7",20,"gdc","Adjectives","first"
"8",20,"gdc","Adjectives","good"
"9",20,"gdc","Adjectives","great"
"10",20,"gdc","Adjectives","happy"
"11",20,"gdc","Adjectives","hot"
"12",20,"gdc","Adjectives","huge"
"13",20,"gdc","Adjectives","hungry"
"14",20,"gdc","Adjectives","left"
"15",20,"gdc","Adjectives","little"
"16",20,"gdc","Adjectives","long"
"17",20,"gdc","Adjectives","messy"
"18",20,"gdc","Adjectives","next"
"19",20,"gdc","Adjectives","nice"
"20",20,"gdc","Adjectives","open"
"21",20,"gdc","Adjectives","own"
"22",20,"gdc","Adjectives","ready"
"23",20,"gdc","Adjectives","right"
"24",20,"gdc","Adjectives","sure"
"25",20,"gdc","Adjectives","young"
"26",20,"gdc","Adverbs","again"
"27",20,"gdc","Adverbs","all"
"28",20,"gdc","Adverbs","also"
"29",20,"gdc","Adverbs","around"
"30",20,"gdc","Adverbs","as"
"31",20,"gdc","Adverbs","away"
"32",20,"gdc","Adverbs","back"
"33",20,"gdc","Adverbs","down"
"34",20,"gdc","Adverbs","how"
"35",20,"gdc","Adverbs","in"
"36",20,"gdc","Adverbs","just"
"37",20,"gdc","Adverbs","more"
"38",20,"gdc","Adverbs","next"
"39",20,"gdc","Adverbs","now"
"40",20,"gdc","Adverbs","on"
"41",20,"gdc","Adverbs","once"
"42",20,"gdc","Adverbs","out"
"43",20,"gdc","Adverbs","shortly"
"44",20,"gdc","Adverbs","so"
"45",20,"gdc","Adverbs","then"
"46",20,"gdc","Adverbs","there"
"47",20,"gdc","Adverbs","up"
"48",20,"gdc","Adverbs","upstairs"
"49",20,"gdc","Adverbs","very"
"50",20,"gdc","Adverbs","where"
"51",20,"gdc","Nouns","baby"
"52",20,"gdc","Nouns","back"
"53",20,"gdc","Nouns","bath"
"54",20,"gdc","Nouns","bed"
"55",20,"gdc","Nouns","bread"
"56",20,"gdc","Nouns","butter"
"57",20,"gdc","Nouns","Carl"
"58",20,"gdc","Nouns","child"
"59",20,"gdc","Nouns","chute"
"60",20,"gdc","Nouns","cookie"
"61",20,"gdc","Nouns","crib"
"62",20,"gdc","Nouns","dog"
"63",20,"gdc","Nouns","fish tank"
"64",20,"gdc","Nouns","grape"
"65",20,"gdc","Nouns","home"
"66",20,"gdc","Nouns","kitchen"
"67",20,"gdc","Nouns","laundry"
"68",20,"gdc","Nouns","mess"
"69",20,"gdc","Nouns","milk"
"70",20,"gdc","Nouns","mom"
"71",20,"gdc","Nouns","mother"
"72",20,"gdc","Nouns","room"
"73",20,"gdc","Nouns","soap"
"74",20,"gdc","Nouns","time"
"75",20,"gdc","Nouns","window"
"76",20,"gdc","Verbs","clean"
"77",20,"gdc","Verbs","come"
"78",20,"gdc","Verbs","dance"
"79",20,"gdc","Verbs","decide"
"80",20,"gdc","Verbs","do"
"81",20,"gdc","Verbs","dry"
"82",20,"gdc","Verbs","eat"
"83",20,"gdc","Verbs","find"
"84",20,"gdc","Verbs","get"
"85",20,"gdc","Verbs","go"
"86",20,"gdc","Verbs","have"
"87",20,"gdc","Verbs","know"
"88",20,"gdc","Verbs","leave"
"89",20,"gdc","Verbs","let"
"90",20,"gdc","Verbs","look"
"91",20,"gdc","Verbs","make"
"92",20,"gdc","Verbs","play"
"93",20,"gdc","Verbs","put"
"94",20,"gdc","Verbs","ride"
"95",20,"gdc","Verbs","run"
"96",20,"gdc","Verbs","say"
"97",20,"gdc","Verbs","see"
"98",20,"gdc","Verbs","take"
"99",20,"gdc","Verbs","turn"
"100",20,"gdc","Verbs","watch"
"101",30,"gdc","Adjectives","awesome"
"102",30,"gdc","Adjectives","back"
"103",30,"gdc","Adjectives","big"
"104",30,"gdc","Adjectives","clean"
"105",30,"gdc","Adjectives","dirty"
"106",30,"gdc","Adjectives","first"
"107",30,"gdc","Adjectives","good"
"108",30,"gdc","Adjectives","great"
"109",30,"gdc","Adjectives","happy"
"110",30,"gdc","Adjectives","huge"
"111",30,"gdc","Adjectives","hungry"
"112",30,"gdc","Adjectives","left"
"113",30,"gdc","Adjectives","little"
"114",30,"gdc","Adjectives","messy"
"115",30,"gdc","Adjectives","next"
"116",30,"gdc","Adjectives","nice"
"117",30,"gdc","Adjectives","old"
"118",30,"gdc","Adjectives","open"
"119",30,"gdc","Adjectives","pretty"
"120",30,"gdc","Adjectives","ready"
"121",30,"gdc","Adjectives","right"
"122",30,"gdc","Adjectives","smart"
"123",30,"gdc","Adjectives","sure"
"124",30,"gdc","Adjectives","tired"
"125",30,"gdc","Adjectives","whole"
"126",30,"gdc","Adverbs","again"
"127",30,"gdc","Adverbs","all"
"128",30,"gdc","Adverbs","around"
"129",30,"gdc","Adverbs","away"
"130",30,"gdc","Adverbs","back"
"131",30,"gdc","Adverbs","down"
"132",30,"gdc","Adverbs","in"
"133",30,"gdc","Adverbs","just"
"134",30,"gdc","Adverbs","next"
"135",30,"gdc","Adverbs","now"
"136",30,"gdc","Adverbs","off"
"137",30,"gdc","Adverbs","on"
"138",30,"gdc","Adverbs","out"
"139",30,"gdc","Adverbs","over"
"140",30,"gdc","Adverbs","really"
"141",30,"gdc","Adverbs","shortly"
"142",30,"gdc","Adverbs","so"
"143",30,"gdc","Adverbs","soon"
"144",30,"gdc","Adverbs","sure"
"145",30,"gdc","Adverbs","then"
"146",30,"gdc","Adverbs","there"
"147",30,"gdc","Adverbs","up"
"148",30,"gdc","Adverbs","upstairs"
"149",30,"gdc","Adverbs","very"
"150",30,"gdc","Adverbs","where"
"151",30,"gdc","Nouns","baby"
"152",30,"gdc","Nouns","back"
"153",30,"gdc","Nouns","bath"
"154",30,"gdc","Nouns","bed"
"155",30,"gdc","Nouns","bread"
"156",30,"gdc","Nouns","butter"
"157",30,"gdc","Nouns","Carl"
"158",30,"gdc","Nouns","chocolate"
"159",30,"gdc","Nouns","chute"
"160",30,"gdc","Nouns","cookie"
"161",30,"gdc","Nouns","crib"
"162",30,"gdc","Nouns","dog"
"163",30,"gdc","Nouns","floor"
"164",30,"gdc","Nouns","grape"
"165",30,"gdc","Nouns","home"
"166",30,"gdc","Nouns","house"
"167",30,"gdc","Nouns","kitchen"
"168",30,"gdc","Nouns","laundry"
"169",30,"gdc","Nouns","mess"
"170",30,"gdc","Nouns","milk"
"171",30,"gdc","Nouns","mom"
"172",30,"gdc","Nouns","mother"
"173",30,"gdc","Nouns","room"
"174",30,"gdc","Nouns","time"
"175",30,"gdc","Nouns","window"
"176",30,"gdc","Verbs","clean"
"177",30,"gdc","Verbs","come"
"178",30,"gdc","Verbs","dance"
"179",30,"gdc","Verbs","decide"
"180",30,"gdc","Verbs","dry"
"181",30,"gdc","Verbs","eat"
"182",30,"gdc","Verbs","find"
"183",30,"gdc","Verbs","get"
"184",30,"gdc","Verbs","go"
"185",30,"gdc","Verbs","have"
"186",30,"gdc","Verbs","jump"
"187",30,"gdc","Verbs","know"
"188",30,"gdc","Verbs","leave"
"189",30,"gdc","Verbs","let"
"190",30,"gdc","Verbs","make"
"191",30,"gdc","Verbs","play"
"192",30,"gdc","Verbs","put"
"193",30,"gdc","Verbs","ride"
"194",30,"gdc","Verbs","run"
"195",30,"gdc","Verbs","say"
"196",30,"gdc","Verbs","see"
"197",30,"gdc","Verbs","take"
"198",30,"gdc","Verbs","turn"
"199",30,"gdc","Verbs","wash"
"200",30,"gdc","Verbs","watch"
"201",40,"gdc","Adjectives","back"
"202",40,"gdc","Adjectives","bad"
"203",40,"gdc","Adjectives","big"
"204",40,"gdc","Adjectives","clean"
"205",40,"gdc","Adjectives","dirty"
"206",40,"gdc","Adjectives","dry"
"207",40,"gdc","Adjectives","first"
"208",40,"gdc","Adjectives","full"
"209",40,"gdc","Adjectives","fun"
"210",40,"gdc","Adjectives","gentle"
"211",40,"gdc","Adjectives","good"
"212",40,"gdc","Adjectives","great"
"213",40,"gdc","Adjectives","happy"
"214",40,"gdc","Adjectives","hungry"
"215",40,"gdc","Adjectives","little"
"216",40,"gdc","Adjectives","messy"
"217",40,"gdc","Adjectives","next"
"218",40,"gdc","Adjectives","nice"
"219",40,"gdc","Adjectives","old"
"220",40,"gdc","Adjectives","ready"
"221",40,"gdc","Adjectives","right"
"222",40,"gdc","Adjectives","safe"
"223",40,"gdc","Adjectives","sure"
"224",40,"gdc","Adjectives","whole"
"225",40,"gdc","Adjectives","wonderful"
"226",40,"gdc","Adverbs","again"
"227",40,"gdc","Adverbs","all"
"228",40,"gdc","Adverbs","around"
"229",40,"gdc","Adverbs","away"
"230",40,"gdc","Adverbs","back"
"231",40,"gdc","Adverbs","down"
"232",40,"gdc","Adverbs","here"
"233",40,"gdc","Adverbs","home"
"234",40,"gdc","Adverbs","in"
"235",40,"gdc","Adverbs","just"
"236",40,"gdc","Adverbs","next"
"237",40,"gdc","Adverbs","now"
"238",40,"gdc","Adverbs","off"
"239",40,"gdc","Adverbs","on"
"240",40,"gdc","Adverbs","out"
"241",40,"gdc","Adverbs","over"
"242",40,"gdc","Adverbs","right"
"243",40,"gdc","Adverbs","shortly"
"244",40,"gdc","Adverbs","then"
"245",40,"gdc","Adverbs","there"
"246",40,"gdc","Adverbs","together"
"247",40,"gdc","Adverbs","up"
"248",40,"gdc","Adverbs","upstairs"
"249",40,"gdc","Adverbs","very"
"250",40,"gdc","Adverbs","where"
"251",40,"gdc","Nouns","baby"
"252",40,"gdc","Nouns","back"
"253",40,"gdc","Nouns","bed"
"254",40,"gdc","Nouns","bread"
"255",40,"gdc","Nouns","butter"
"256",40,"gdc","Nouns","Carl"
"257",40,"gdc","Nouns","chocolate"
"258",40,"gdc","Nouns","chute"
"259",40,"gdc","Nouns","cookie"
"260",40,"gdc","Nouns","crib"
"261",40,"gdc","Nouns","dog"
"262",40,"gdc","Nouns","fish tank"
"263",40,"gdc","Nouns","floor"
"264",40,"gdc","Nouns","grape"
"265",40,"gdc","Nouns","home"
"266",40,"gdc","Nouns","kitchen"
"267",40,"gdc","Nouns","laundry"
"268",40,"gdc","Nouns","mess"
"269",40,"gdc","Nouns","milk"
"270",40,"gdc","Nouns","mom"
"271",40,"gdc","Nouns","mother"
"272",40,"gdc","Nouns","room"
"273",40,"gdc","Nouns","soap"
"274",40,"gdc","Nouns","time"
"275",40,"gdc","Nouns","window"
"276",40,"gdc","Verbs","clean"
