"","concept","sentences"
"1",1,"Kicking the ball up and keeping it in the air."
"2",1,"It fall goes and breaks the window of his house."
"3",1,"And bounces into the living room knocking a lamp over where his father is sitting."
"4",2,"Of the living room actually."
"5",2,"And bounces into the living room knocking a lamp over where his father is sitting."
"6",3,"And bounces into the living room knocking a lamp over where his father is sitting."
"7",4,"And bounces into the living room knocking a lamp over where his father is sitting."
"8",5,"Young boy is practicing playing soccer."
"9",6,NA
"10",7,NA
"11",8,"Of the living room actually."
